Time(s),X(m),Y(m)
0,0,10
0.1,2.12132,12.1213
0.2,4.24264,14.1445
0.3,6.36396,16.0697
0.4,8.48528,17.8967
0.5,10.6066,19.6256
0.6,12.7279,21.2564
0.7,14.8492,22.7891
0.8,16.9706,24.2238
0.9,19.0919,25.5603
1,21.2132,26.7987
1.1,23.3345,27.939
1.2,25.4558,28.9812
1.3,27.5772,29.9254
1.4,29.6985,30.7714
1.5,31.8198,31.5193
1.6,33.9411,32.1691
1.7,36.0624,32.7208
1.8,38.1838,33.1745
1.9,40.3051,33.53
2,42.4264,33.7874
2.1,44.5477,33.9467
2.2,46.669,34.0079
2.3,48.7904,33.9711
2.4,50.9117,33.8361
2.5,53.033,33.603
2.6,55.1543,33.2718
2.7,57.2756,32.8425
2.8,59.397,32.3152
2.9,61.5183,31.6897
3,63.6396,30.9661
3.1,65.7609,30.1444
3.2,67.8823,29.2247
3.3,70.0036,28.2068
3.4,72.1249,27.0908
3.5,74.2462,25.8767
3.6,76.3675,24.5645
3.7,78.4889,23.1543
3.8,80.6102,21.6459
3.9,82.7315,20.0394
4,84.8528,18.3348
4.1,86.9741,16.5321
4.2,89.0955,14.6314
4.3,91.2168,12.6325
4.4,93.3381,10.5355
4.5,95.4594,8.34042
4.6,97.5807,6.04724
4.7,99.7021,3.65596
4.8,101.823,1.16658
